Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,6,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,Надання адміністративних та соціальних послуг в Піщівській  та Тетерівській громадах. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління бюджетами і фінансами,5,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Планування діяльності щодо встановлення місцевих податків і зборів в 2021 році для Яришівської, Городківської, Джуринської та Копайгородської громад. ОНЛАЙН."
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,5,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Перші кроки. Створення та фінансування виконавчих органів у Бабчинецькій, Брацлавській та Піщанській громадах. ОНЛАЙН."
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,4,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",3,Підготовка проєктних пропозицій на конкурсний відбір Українського культурного фонду для Пологівської громади і Чернігівської громади Запорізької області та Царичанської громади Дніпропетровської області. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,4,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Порядок проведення перевірки  достовірності відомостей щодо застосування заборон, передбачених частинами третьою і четвертою статті 1 Закону України “Про очищення влади” (для Великогаївської, Збаразької, Копичинецької територіальних громад) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,7,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Формування проєкту місцевого бюджету на 2021 рік (Верховинська, Снятинська, Тисменицька територіальні громади) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,6,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Формування проєкту місцевого бюджету на 2021 рік (Отинійська, Підгайчиківська, Кутська територіальні громади) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління бюджетами і фінансами,6,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Впровадження гендерно-орієнтованого підходу при формуванні проєкту місцевого бюджету та складанні бюджетних запитів (Дубовецька, Єзупільська, Лисецька територіальні громади) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,6,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Перші кроки. Реорганізація та кадрові питання для Городоцької, Сокальської, Яворівської та Бродівської територіальних громад (Онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,4,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",3,"Фінансові та юридичні аспекти реорганізації в територіальних громадах (для Нагірянської, Іване-Пустенської, Гримайлівської громад) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,4,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",3,"Формування ефективних фінансового менеджменту та структури територіальної громади  (для Заліщицької, Підгаєцької та Козівської громад) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління бюджетами і фінансами,12,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Інформаційно-аналітична система управління плануванням та виконанням місцевих бюджетів ""LOGICA"" (Перегінська, Рожнятівська, Дубівська територіальні громади) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,5,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",3,"Створення фінансових органів в територіальних громадах(для Хоростківської, Товстенської, Великоберезовицької, Почаївської  громад) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,5,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Формування ефективних фінансового менеджменту та структури територіальної громади (для Микулинецької, Байковецької, Теребовлянської, Монастириської громад) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,7,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,Підготовка проєктів на грантові конкурси Українського культурного фонду 2021 (для Водяницької Червонослобідської та Ліплявської громад). ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,3,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Онлайн: Подання проєктів на конкурсні  програми Українського Культурного Фонду (для Вараської, Смизької та Привільненської громад)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,8,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Онлайн: Перші кроки. Процедура реорганізації органів місцевого самоврядування та порядок проведення інвентаризації у Полицькій, Рафалівській та Семидубській громадах"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,4,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",3,"Перші кроки: гендерні показники при формуванні місцевого бюджету (Чмирівська, Шульгинська, Кремінська громади). ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,3,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",3,"Взаємозв'язок процесів стратегування та бюджетування в громаді (Троїцька , Широківська, Новоайдарська громади). ОНЛАЙН"
