Програма/проєкт,Період,"""Громада з нуля""","""Навчання з надання послуг і управління інфраструктурою на місцевому рівні""","""Навчання загального управлінського характеру""",Кількість учасників навчання (осіб),Цільові групи учасників навчання ,"Кількість тергромад, для яких було проведене навчання",Назва навчання
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,24,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",11,Перші кроки територіальних громад Сумської області: юридичні та фінансові аспекти. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,15,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",11,Перші кроки. Формування проєкту місцевого бюджету на 2021 рік. ОНЛАЙН.
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,15,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",11,"Перші кроки: кадрові питання та формування структури для Кодимської, Ренійської, Саф'янівської, Іванівської, Андрієво-Іванівської, Коноплянської, Авангардівської, Новоборисівської, Великодолинської, Миколаївської, Овідіопольської та Кубейської громад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,13,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,Комунікація та залучення громадян до прийняття рішень. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,"Просторове планування, містобудування та архітектура, управління земельними ресурсами",11,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,Просторове планування та управління природними ресурсами - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,17,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",10,Комунікація та залучення громадян до прийняття рішень - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,19,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,"Перші кроки. Підготовка та проведення першої сесії місцевої ради: кадрові та фінансові питання. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,18,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,"Перші кроки для Татарбунарської, Вигодянської, Знам'янської, Раухівської, Великомихайлівської, Тузлівської, Доброславської, Іванівської, Маразліївської та Біляївської новостворених громад: інвентаризація майна, активів і зобов'язань та підготовка проєкту бюджету на 2021 рік. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,17,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,"Перші кроки для Татарбунарської, Вигдянської, Маразліївської, Староказацької, Раухівської, 
Тузлівської, Доброславської, Великомихайлівської та Іванівської новостворених громад: загальні організаційні, юридичні та кадрові питання. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,12,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,"Онлайн: Перші кроки. Порядок реєстрації обраних голів і депутатів місцевих рад у Зорянській, Городоцькій, Березнівській, Мізоцькій, Варковицькій, Білокриницькій, Великомежиріцькій, Рокитнівській, Здолбунівській та Корецькій громадах"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,14,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,Базова комунікація для громад. Елементи антикризової комунікації під час пандемії КОВІД-19. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,13,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",10,Створення Центру надання адміністративних послуг. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,21,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",10,Особливості надання субвенції з державного бюджету місцевим бюджетам на здійснення заходів щодо соціально-економічного розвитку територій. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,17,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,"Підготовка та проведення першої сесії, перші кроки діючих громад Сумської області після виборів. ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,17,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,Забезпечення виконання бюджетів до кінця бюджетного періоду та підготовка проєкту бюджету на 2021 рік новоутворених громад Сумської області після виборів. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,13,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,"Перші кроки. Підготовка та проведення першої сесії місцевої ради: кадрові та фінансові питання. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,41,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,Перші кроки для  новостворених громад. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,109,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,Перші кроки для новостворених громад. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,11,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",9,Базова комунікація для ОТГ. Елементи антикризової комунікації під час пандемії КОВІД-19 (онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,24,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",9,Застосування комп’ютерної програми «Інформаційно-аналітична система управління плануванням та виконанням місцевих бюджетів «LOGICA». ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Соціальний захист,,11,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,"Кроки для спеціалістів. Планування та організація надання соціальних послуг. Сімейно орієнтована соціальна робота, захист дитини та міжвідомча взаємодія. ОНЛАЙН."
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,12,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,"Конкурс на заміщення вакантних посад в ОМС для Милівської, Станіславської, Новоолександрівської громад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Форми безпосередньої участі територіальної громади у здійснені місцевого самоврядування,11,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,Базова комунікація для територіальних громад. Елементи антикризової комунікації під час пандемії КОВІД-19 - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,16,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,Особливості кадрової роботи в ОМС. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Соціальний захист,,13,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",9,"Планування та організація надання соціальних послуг для громад Закарпатської, Рівненської та Тернопільської областей - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,9,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",8,Просторове планування та управління природними ресурсами. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,14,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",8,"Організація освітнього процесу в умовах змішаного та дистанційного навчання для представників Вознесенської, Баштанської, Южноукраїнської, Веселинівської, Братської, Доманівської, Воскресенської та Новобузької громад. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,12,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",8,Підготовка проєктних пропозицій на конкурсні відбори Українського культурного фонду для Пологівської ТГ. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,18,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,Підготовка та проведення першої сесії: перші кроки новоутворених громад Сумської області після виборів. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Процедура й облік результатів інвентаризації у бюджетній сфері для Олешківської та Херсонської міської ради, Новотроїцької та Іванівської селищної ради, Новоолександрівської, Зеленопідської та Великокопанівської сільської ради. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,15,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Перші кроки. Підготовка та проведення першої сесії місцевої ради: кадрові та фінансові питання. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,13,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Перші кроки. Підготовка та проведення першої сесії місцевої ради: кадрові та фінансові питання. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,11,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Перші кроки для Новокальчевської, Біляївської, Кубейської, Коноплянської, Слобідської, Ренійської, Великобуялицької та Визирської новостворених громад: інвентаризація майна, активів і зобов'язань та підготовка проєкту бюджету на 2021 рік. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,11,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Перші кроки для Новокальчевської, Біляївської, Кубейської, Коноплянської, Слобідської, Ренійської, Великобуялицької та Визирської новостворених громад: загальні організаційні, юридичні та кадрові питання. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,15,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Фінансові та юридичні аспекти організації роботи рад після виборів (бюджет та кадрові питання) для Мостиської, Великомостівської, Розвадівської, Тростянецької, Судововишнянської і Шегинівської громад (Онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,14,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,"Перші кроки: Підготовка та організація першої сесії для Чагорської, Тарашанської, Волоківської, Глибоцької, Тереблеченської, Кам’янецької, Сучевенської, Карапчівської громад (онлайн)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",8,Новообраний депутат місцевої ради - про що варто знати: ключові права та обов'язки. Онлайн
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Соціальний захист,,14,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",8,Соціальні послуги в громадах (онлайн)
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,11,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,Базові принципи комунікації для територіальних громад. Антикризові комунікації під час COVID-19 -ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,"Врахування Гендерних аспектів у бюджетному процесі (для Трибухівської, Колодненської, Золотниківської, Козлівської, Іванівської ОТГ) - ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,"Просторове планування та управління природними ресурсами для Луганської, Сумської та Харківської областей. ОНЛАЙН "
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,"Перші кроки для Розквітівської, Березівської, Тузлівської, Фонтанської, Коноплянської, Дачненської та Окнянської новостворених громад: загальні організаційні, юридичні та кадрові питання. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,15,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,"Перші кроки: алгоритм першочергових дій для територіальних громад, вибори у яких відбулися у грудні 2019 року – ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,14,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,"Перші кроки: процедура реорганізації та інвентаризації для Криничанської, Глеюватської, Першотравневської, Новопокровської, Солонянської,  Святовасилівської, Юріївської. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,15,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,Подання декларацій особами уповноваженими на виконання функцій місцевого самоврядування. ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,10,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,"Перші кроки: процедура реорганізації та інвентаризації для Лихівської, Петриківської, Затишнянської, Маломихайлівської, Девладівської, Верхньодніпровської, Томаківської громад. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,Управління місцевим соціально-економічним розвитком,10,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",7,Підготовка проєктів на конкурсні програми Українського Культурного Фонду - ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,,Соціальний захист,,12,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",6,"Сімейно орієнтована соціальна робота, захист дитини та міжвідомча взаємодія для громад Запорізької області. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,9,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",6,"Забезпечення
виконання бюджетів до кінця
бюджетного періоду та підготовка
проєкту бюджету на 2021 рік (Онлайн для
Славської, Рудківської,
Новокалинівської Гнізичівської та
Бісковицької громад)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,"Просторове планування, містобудування та архітектура, управління земельними ресурсами",6,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",6,Просторове планування та управління земельними ресурсами. ОНЛАЙН.
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,10,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",6,"Підготовка першого
засідання ради новоствореної
громади та особливості закінчення
бюджетного періоду (Онлайн для
Бродівської, , Золочівської
та Перемишлянської громад)"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,13,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",6,"Перші кроки. Проходження служби в органах місцевого самоврядування. Кадрові питання (для Березівської, Романівської та Черняхівської громад). ОНЛАЙН"
"Програма ""U-LEAD з Європою""",4 квартал 2020,,,"Просторове планування, містобудування та архітектура, управління земельними ресурсами",13,"Посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування",6,Просторове планування та управління природними ресурсами- ОНЛАЙН
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,9,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",6,"Перші кроки. Підготовка та проведення першої сесії місцевої ради: кадрові та фінансові питання. Онлайн
"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,14,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",6,"Перші кроки для Кулевчанської, Кубейської, Тузлівської, Ренійської, Лиманської та Староказацької новостворених громад: інвентаризація майна, активів і зобов'язань та підготовка проєкту бюджету на 2021 рік. Онлайн"
"Програма ""U-LEAD з Європою""",4 квартал 2020,"Організація і проведення першої сесії Ради, Створення виконкому, Планування соціально-економічного розвитку, Планування бюджету",,,17,"Голови органів місцевого самоврядування та їх заступники, посадові особи місцевого самоврядування керівного рівня, посадові особи місцевого самоврядування, депутати місцевих рад",6,"Перші кроки для Кулевчанської, Кубейської, Тузлівської, Ренійської, Лиманської та Староказацької новостворених громад: загальні організаційні, юридичні та кадрові питання. Онлайн"
